Plant_ID,Site,Time,Date,Replicate,Family,Genus,Species,Unique_ID,drying,etc,sex,nativity
42,GT1,10:20,2025-07-07,4,Apidae,Bombus,griseocollis,,,,f,1
112,GT3,13:34,2025-07-08,4,Apidae,Melissodes,druriellus_,,,,f,1
115,GT3,13:34,2025-07-08,4,Apidae,Triepeolus,remigatus,,,,m,1
116,GT3,13:35,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
113,GT3,13:38,2025-07-08,4,Apidae,Apis,mellifera,,,,f,0
114,GT3,13:40,2025-07-08,4,Apidae,Apis,mellifera,,,,f,0
115,GT3,13:46,2025-07-08,4,Apidae,Melissodes,druriellus_,,,,f,1
115,GT3,13:46,2025-07-08,4,Apidae,Melissodes,druriellus_,,,,f,1
115,GT3,13:47,2025-07-08,4,Apidae,Bombus,griseocollis,,,,f,1
113,GT3,13:48,2025-07-08,4,Apidae,Apis,mellifera,,,,f,0
115,GT3,13:52,2025-07-08,4,Apidae,Melissodes,druriellus_,,,,f,1
115,GT3,13:55,2025-07-08,4,Apidae,Melissodes,druriellus_,,,,f,1
42,GT3,13:58,2025-07-08,4,Apidae,Bombus,griseocollis,,,,f,1
114,GT3,14:01,2025-07-08,4,Apidae,Apis,mellifera,,,,f,0
115,GT3,14:03,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
124,GT2,16:38,2025-07-08,4,Apidae,Bombus,bimaculatus,,,,m,1
124,GT2,16:40,2025-07-08,4,Apidae,Anthophora,terminalis,,,,f,1
112,GT2,16:41,2025-07-08,4,Apidae,Melissodes,druriellus_,,,,m,1
113,GT2,16:41,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
112,GT2,16:42,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
112,GT2,16:43,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
112,GT2,16:46,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
124,GT2,16:50,2025-07-08,4,Apidae,Anthophora,terminalis,,,,m,1
124,GT2,16:52,2025-07-08,4,Apidae,Ceratina,calcarata,,,,f,1
124,GT2,16:52,2025-07-08,4,Apidae,Anthophora,terminalis,,,,f,1
124,GT2,16:59,2025-07-08,4,Apidae,Anthophora,terminalis,,,,f,1
112,GT2,17:01,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
113,GT2,17:04,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
113,GT2,17:05,2025-07-08,4,Apidae,Melissodes,illatus_,,,,f,1
111,GT3,13:39,2025-07-08,4,Colletidae,Hylaeus,affinis,,,,f,1
115,GT3,13:37,2025-07-08,4,Halictidae,Halictus,ligatus,,,,f,1
117,GT3,13:40,2025-07-08,4,Halictidae,Halictus,ligatus,,,,f,1
115,GT3,13:42,2025-07-08,4,Halictidae,Halictus,ligatus,,,,f,1
123,GT3,13:49,2025-07-08,4,Halictidae,Halictus,ligatus,,,,f,1
111,GT3,13:50,2025-07-08,4,Halictidae,Lasioglossum,imitatum,,,,f,1
113,GT3,13:52,2025-07-08,4,Halictidae,Augochlorella,aurata,,,,f,1
115,GT3,13:56,2025-07-08,4,Halictidae,Halictus,ligatus,,,,f,1
111,GT3,13:59,2025-07-08,4,Halictidae,Lasioglossum,imitatum,,,,f,1
113,GT3,14:02,2025-07-08,4,Halictidae,Augochlorella,aurata,,,,f,1
